pl_name,ra,dec,sy_dist,sy_plx
Kepler-1802 b,300.2420869,44.1412854,636.6940000,1.5542300
Kepler-1802 c,300.2420869,44.1412854,636.6940000,1.5542300
Kepler-1804 b,301.3428675,44.6721750,434.4560000,2.2734000
Kepler-1805 b,285.0865387,40.8990506,221.6390000,4.4830900
Kepler-1806 b,287.5349528,49.8016283,978.0660000,0.9943540
Kepler-1807 b,291.5494119,44.5272788,1299.3200000,0.7409220
Kepler-1808 b,287.2924737,39.3832039,1022.0100000,0.9500590
Kepler-1809 b,290.2651662,40.5484937,409.6020000,2.4126500
Kepler-181 b,296.1512831,50.0957806,609.2830000,1.6126700
Kepler-181 c,296.1512831,50.0957806,609.2830000,1.6126700
Kepler-1810 b,291.8129995,38.0880964,1009.8700000,0.9623180
Kepler-1811 b,289.9793241,40.1427848,1390.5600000,0.6908060
Kepler-1812 b,298.0845087,40.2832525,1409.1900000,0.6821880
Kepler-1814 b,285.2166767,41.2824449,726.3460000,1.3484200
Kepler-1814 c,285.2166767,41.2824449,726.3460000,1.3484200
Kepler-1815 b,300.1704720,43.9849048,1006.6300000,0.9658490
Kepler-1816 b,296.8509823,50.6987736,437.8230000,2.2552700
Kepler-1817 b,282.0333419,44.4779955,748.5690000,1.3073100
Kepler-1818 b,284.3284866,40.5688741,1034.5900000,0.9379260
Kepler-1819 b,296.5600307,46.8574644,1363.1900000,0.7055520
Kepler-182 b,289.8301128,50.5862025,1549.0900000,0.6166010
Kepler-182 c,289.8301128,50.5862025,1549.0900000,0.6166010
Kepler-1820 b,296.7127400,48.2722828,1425.3900000,0.6735080
Kepler-1821 b,294.5254573,49.8724840,799.6990000,1.2218000
Kepler-1822 b,297.2855000,41.3055733,897.5970000,1.0869700
Kepler-1823 b,283.7547770,45.3351250,724.9710000,1.3505700
Kepler-1824 b,296.7071957,41.2036197,1040.1000000,0.9333090
Kepler-1825 b,292.5140647,42.6517554,430.2540000,2.2954400
Kepler-1826 b,292.7700072,48.8998469,336.9520000,2.9392000
Kepler-1827 b,292.2525301,40.7927895,686.4610000,1.4280300
Kepler-1828 b,292.4275963,37.3207616,871.8100000,1.1187500
Kepler-1829 b,288.6644840,51.4983798,679.9210000,1.4420900
Kepler-183 b,293.5308112,39.3159329,1050.6400000,0.9237020
Kepler-183 c,293.5308112,39.3159329,1050.6400000,0.9237020
Kepler-1830 b,295.1390408,40.9790527,1056.8800000,0.9176150
Kepler-1831 b,295.3024604,49.5890456,1053.4900000,0.9205770
Kepler-1832 b,299.8517779,43.7320611,486.1740000,2.0283100
Kepler-1833 b,290.8714239,45.4102813,591.6020000,1.6616900
Kepler-1834 b,294.6646789,39.7838461,500.3950000,1.9703400
Kepler-1834 c,294.6646789,39.7838461,500.3950000,1.9703400
Kepler-1835 b,280.3148152,43.9856885,1404.3800000,0.6833840
Kepler-1836 b,292.3150933,40.8387799,1472.6200000,0.6513530
